CaseID,ActivityID,CompleteTimestamp,Duration,CumDuration,TimeSinceMidnight,WeekDay
2.0,1.0,2012-04-03 16:55:38,0.0,0.0,60938.0,1.0
2.0,8.0,2012-04-03 16:55:53,15.0,15.0,60953.0,1.0
2.0,6.0,2012-04-05 17:15:52,173999.0,174014.0,62152.0,3.0
3.0,1.0,2010-10-29 18:14:06,0.0,0.0,65646.0,4.0
3.0,8.0,2010-11-04 01:16:11,457325.0,457325.0,4571.0,3.0
3.0,6.0,2010-11-04 01:21:17,306.0,457631.0,4877.0,3.0
4.0,1.0,2010-12-15 23:31:53,0.0,0.0,84713.0,2.0
4.0,8.0,2010-12-16 17:01:07,62954.0,62954.0,61267.0,3.0
4.0,6.0,2010-12-16 17:08:19,432.0,63386.0,61699.0,3.0
5.0,1.0,2012-04-03 21:08:32,0.0,0.0,76112.0,1.0
5.0,8.0,2012-04-03 21:45:33,2221.0,2221.0,78333.0,1.0
5.0,6.0,2012-04-03 21:47:22,109.0,2330.0,78442.0,1.0
5.0,8.0,2012-04-03 22:15:02,1660.0,3990.0,80102.0,1.0
5.0,6.0,2012-04-04 00:07:28,6746.0,10736.0,448.0,2.0
6.0,1.0,2011-10-25 23:13:58,0.0,0.0,83638.0,1.0
6.0,8.0,2011-10-25 23:58:55,2697.0,2697.0,86335.0,1.0
6.0,6.0,2011-10-26 17:54:46,64551.0,67248.0,64486.0,2.0
8.0,1.0,2012-07-05 16:30:32,0.0,0.0,59432.0,3.0
8.0,8.0,2012-07-05 17:25:45,3313.0,3313.0,62745.0,3.0
8.0,6.0,2012-07-05 17:44:46,1141.0,4454.0,63886.0,3.0
9.0,3.0,2010-05-07 21:02:21,0.0,0.0,75741.0,4.0
9.0,1.0,2010-05-07 21:02:34,13.0,13.0,75754.0,4.0
9.0,8.0,2010-05-24 18:26:28,1459434.0,1459447.0,66388.0,0.0
9.0,6.0,2010-05-25 23:35:44,104956.0,1564403.0,84944.0,1.0
10.0,1.0,2010-02-10 17:50:20,0.0,0.0,64220.0,2.0
10.0,8.0,2010-03-19 17:47:06,3196606.0,3196606.0,64026.0,4.0
10.0,6.0,2010-03-19 17:47:13,7.0,3196613.0,64033.0,4.0
11.0,1.0,2011-12-22 00:24:41,0.0,0.0,1481.0,3.0
11.0,8.0,2011-12-22 00:25:34,53.0,53.0,1534.0,3.0
11.0,6.0,2011-12-22 18:55:43,66609.0,66662.0,68143.0,3.0
14.0,1.0,2011-07-05 21:47:08,0.0,0.0,78428.0,1.0
14.0,8.0,2011-07-05 21:47:22,14.0,14.0,78442.0,1.0
14.0,6.0,2011-07-05 21:52:37,315.0,329.0,78757.0,1.0
16.0,1.0,2012-02-22 23:16:52,0.0,0.0,83812.0,2.0
16.0,8.0,2012-02-23 01:14:07,7035.0,7035.0,4447.0,3.0
16.0,8.0,2012-02-23 01:23:57,590.0,7625.0,5037.0,3.0
16.0,6.0,2012-02-23 18:47:38,62621.0,70246.0,67658.0,3.0
17.0,1.0,2011-10-14 15:10:47,0.0,0.0,54647.0,4.0
17.0,8.0,2011-11-03 01:17:52,1678025.0,1678025.0,4672.0,3.0
17.0,6.0,2011-11-09 22:31:37,594825.0,2272850.0,81097.0,2.0
19.0,1.0,2010-07-07 15:54:04,0.0,0.0,57244.0,2.0
19.0,8.0,2010-07-09 18:10:52,181008.0,181008.0,65452.0,4.0
19.0,6.0,2010-07-09 18:11:18,26.0,181034.0,65478.0,4.0
21.0,1.0,2011-01-15 00:15:21,0.0,0.0,921.0,5.0
21.0,8.0,2011-01-27 17:06:37,1097476.0,1097476.0,61597.0,3.0
21.0,6.0,2011-01-27 19:19:15,7958.0,1105434.0,69555.0,3.0
22.0,1.0,2012-07-23 15:49:04,0.0,0.0,56944.0,0.0
22.0,8.0,2012-07-23 15:49:14,10.0,10.0,56954.0,0.0
22.0,9.0,2012-07-23 16:51:59,3765.0,3775.0,60719.0,0.0
22.0,6.0,2012-08-27 18:05:23,3028404.0,3032179.0,65123.0,0.0
24.0,1.0,2010-04-27 17:49:56,0.0,0.0,64196.0,1.0
24.0,8.0,2010-06-08 19:06:56,3633420.0,3633420.0,68816.0,1.0
24.0,6.0,2010-06-08 22:46:16,13160.0,3646580.0,81976.0,1.0
25.0,1.0,2010-12-30 18:27:17,0.0,0.0,66437.0,3.0
25.0,8.0,2010-12-30 22:14:04,13607.0,13607.0,80044.0,3.0
25.0,6.0,2010-12-31 00:16:35,7351.0,20958.0,995.0,4.0
26.0,1.0,2011-03-31 15:28:47,0.0,0.0,55727.0,3.0
26.0,8.0,2011-03-31 15:31:59,192.0,192.0,55919.0,3.0
26.0,9.0,2011-03-31 16:39:41,4062.0,4254.0,59981.0,3.0
26.0,8.0,2011-03-31 19:00:28,8447.0,12701.0,68428.0,3.0
26.0,6.0,2011-03-31 19:00:41,13.0,12714.0,68441.0,3.0
27.0,1.0,2011-11-24 23:02:16,0.0,0.0,82936.0,3.0
27.0,8.0,2011-11-24 23:02:35,19.0,19.0,82955.0,3.0
27.0,6.0,2011-12-12 18:04:47,1537332.0,1537351.0,65087.0,0.0
29.0,1.0,2012-07-30 18:07:32,0.0,0.0,65252.0,0.0
29.0,8.0,2012-07-30 18:07:40,8.0,8.0,65260.0,0.0
29.0,6.0,2012-07-30 20:29:40,8520.0,8528.0,73780.0,0.0
30.0,1.0,2011-01-21 18:47:20,0.0,0.0,67640.0,4.0
30.0,8.0,2011-02-07 18:19:45,1467145.0,1467145.0,65985.0,0.0
30.0,6.0,2011-02-10 18:01:20,258095.0,1725240.0,64880.0,3.0
32.0,1.0,2011-04-27 15:38:44,0.0,0.0,56324.0,2.0
32.0,8.0,2011-04-27 20:46:13,18449.0,18449.0,74773.0,2.0
32.0,6.0,2011-04-28 16:18:08,70315.0,88764.0,58688.0,3.0
35.0,1.0,2012-01-18 17:15:30,0.0,0.0,62130.0,2.0
35.0,6.0,2012-01-18 18:46:37,5467.0,5467.0,67597.0,2.0
36.0,1.0,2011-06-29 18:06:48,0.0,0.0,65208.0,2.0
36.0,8.0,2011-06-30 20:58:23,96695.0,96695.0,75503.0,3.0
36.0,6.0,2011-07-05 15:32:43,412460.0,509155.0,55963.0,1.0
37.0,1.0,2011-02-10 20:13:07,0.0,0.0,72787.0,3.0
