CaseID,ActivityID,CompleteTimestamp,Duration,CumDuration,TimeSinceMidnight,WeekDay
2,1,2012-04-03 16:55:38,0,0,60938,1
2,8,2012-04-03 16:55:53,15,15,60953,1
2,6,2012-04-05 17:15:52,173999,174014,62152,3
3,1,2010-10-29 18:14:06,0,0,65646,4
3,8,2010-11-04 01:16:11,457325,457325,4571,3
3,6,2010-11-04 01:21:17,306,457631,4877,3
4,1,2010-12-15 23:31:53,0,0,84713,2
4,8,2010-12-16 17:01:07,62954,62954,61267,3
4,6,2010-12-16 17:08:19,432,63386,61699,3
5,1,2012-04-03 21:08:32,0,0,76112,1
5,8,2012-04-03 21:45:33,2221,2221,78333,1
5,6,2012-04-03 21:47:22,109,2330,78442,1
5,8,2012-04-03 22:15:02,1660,3990,80102,1
5,6,2012-04-04 00:07:28,6746,10736,448,2
6,1,2011-10-25 23:13:58,0,0,83638,1
6,8,2011-10-25 23:58:55,2697,2697,86335,1
6,6,2011-10-26 17:54:46,64551,67248,64486,2
8,1,2012-07-05 16:30:32,0,0,59432,3
8,8,2012-07-05 17:25:45,3313,3313,62745,3
8,6,2012-07-05 17:44:46,1141,4454,63886,3
9,3,2010-05-07 21:02:21,0,0,75741,4
9,1,2010-05-07 21:02:34,13,13,75754,4
9,8,2010-05-24 18:26:28,1459434,1459447,66388,0
9,6,2010-05-25 23:35:44,104956,1564403,84944,1
10,1,2010-02-10 17:50:20,0,0,64220,2
10,8,2010-03-19 17:47:06,3196606,3196606,64026,4
10,6,2010-03-19 17:47:13,7,3196613,64033,4
11,1,2011-12-22 00:24:41,0,0,1481,3
11,8,2011-12-22 00:25:34,53,53,1534,3
11,6,2011-12-22 18:55:43,66609,66662,68143,3
14,1,2011-07-05 21:47:08,0,0,78428,1
14,8,2011-07-05 21:47:22,14,14,78442,1
14,6,2011-07-05 21:52:37,315,329,78757,1
16,1,2012-02-22 23:16:52,0,0,83812,2
16,8,2012-02-23 01:14:07,7035,7035,4447,3
16,8,2012-02-23 01:23:57,590,7625,5037,3
16,6,2012-02-23 18:47:38,62621,70246,67658,3
17,1,2011-10-14 15:10:47,0,0,54647,4
17,8,2011-11-03 01:17:52,1678025,1678025,4672,3
17,6,2011-11-09 22:31:37,594825,2272850,81097,2
19,1,2010-07-07 15:54:04,0,0,57244,2
